pos,neg,positive_count,negative_count
positive,negative,0,1
positive,negative,0,1
positive,negative,1,1
positive,negative,1,1
positive,negative,1,1
positive,negative,2,1
positive,negative,3,1
positive,negative,4,1
positive,negative,5,1
positive,negative,5,1
positive,negative,6,1
positive,negative,7,1
positive,negative,7,1
positive,negative,7,2
positive,negative,8,2
positive,negative,8,3
positive,negative,8,3
positive,negative,9,3
positive,negative,9,3
positive,negative,9,3
positive,negative,10,3
positive,negative,11,3
positive,negative,12,3
positive,negative,13,3
positive,negative,13,3
positive,negative,14,3
positive,negative,15,3
positive,negative,15,3
positive,negative,15,4
positive,negative,16,4
positive,negative,16,5
positive,negative,16,5
positive,negative,17,5
positive,negative,17,5
positive,negative,17,5
positive,negative,18,5
positive,negative,19,5
positive,negative,20,5
positive,negative,21,5
positive,negative,21,5
positive,negative,22,5
positive,negative,23,5
positive,negative,23,5
positive,negative,23,6
positive,negative,24,6
positive,negative,24,7
positive,negative,24,7
positive,negative,25,7
positive,negative,25,7
positive,negative,25,7
positive,negative,26,7
positive,negative,27,7
positive,negative,28,7
positive,negative,29,7
positive,negative,29,7
positive,negative,30,7
positive,negative,31,7
positive,negative,31,7
positive,negative,31,8
positive,negative,32,8
positive,negative,32,9
positive,negative,32,9
positive,negative,33,9
positive,negative,33,9
positive,negative,33,9
positive,negative,34,9
positive,negative,35,9
positive,negative,36,9
positive,negative,37,9
positive,negative,37,9
positive,negative,38,9
positive,negative,39,9
positive,negative,39,9
positive,negative,39,10
positive,negative,40,10
positive,negative,40,11
positive,negative,40,11
positive,negative,41,11
positive,negative,41,11
positive,negative,41,11
positive,negative,42,11
positive,negative,43,11
positive,negative,44,11
positive,negative,45,11
positive,negative,45,11
positive,negative,46,11
positive,negative,47,11
positive,negative,47,11
positive,negative,47,12
positive,negative,48,12
positive,negative,48,13
positive,negative,48,13
positive,negative,49,13
positive,negative,49,13
positive,negative,49,13
positive,negative,50,13
positive,negative,51,13
positive,negative,52,13
positive,negative,53,13
positive,negative,53,13
positive,negative,54,13
positive,negative,55,13
positive,negative,55,13
positive,negative,55,14
positive,negative,56,14
positive,negative,56,15
positive,negative,56,15
positive,negative,57,15
positive,negative,57,15
positive,negative,57,15
positive,negative,58,15
positive,negative,59,15
positive,negative,60,15
positive,negative,61,15
positive,negative,61,15
positive,negative,62,15
positive,negative,63,15
positive,negative,63,15
positive,negative,63,16
positive,negative,64,16
positive,negative,64,17
positive,negative,64,17
positive,negative,65,17
positive,negative,65,17
positive,negative,65,17
positive,negative,66,17
positive,negative,67,17
positive,negative,68,17
positive,negative,69,17
positive,negative,69,17
positive,negative,70,17
positive,negative,71,17
positive,negative,71,17
positive,negative,71,18
positive,negative,72,18
positive,negative,72,19
positive,negative,72,19
positive,negative,73,19
positive,negative,73,19
positive,negative,73,19
positive,negative,74,19
positive,negative,75,19
positive,negative,76,19
positive,negative,77,19
positive,negative,77,19
positive,negative,78,19
positive,negative,79,19
positive,negative,79,19
positive,negative,79,20
positive,negative,80,20
positive,negative,80,21
positive,negative,80,21
positive,negative,81,21
positive,negative,81,21
positive,negative,81,21
positive,negative,82,21
positive,negative,83,21
positive,negative,84,21
positive,negative,85,21
positive,negative,85,21
positive,negative,86,21
positive,negative,87,21
positive,negative,87,21
positive,negative,87,22
positive,negative,88,22
positive,negative,88,23
positive,negative,88,23
positive,negative,89,23
positive,negative,89,23
positive,negative,89,23
positive,negative,90,23
positive,negative,91,23
positive,negative,92,23
positive,negative,93,23
positive,negative,93,23
positive,negative,94,23
positive,negative,95,23
positive,negative,95,23
positive,negative,95,24
positive,negative,96,24
positive,negative,96,25
positive,negative,96,25
positive,negative,97,25
positive,negative,97,25
positive,negative,97,25
positive,negative,98,25
positive,negative,99,25
positive,negative,100,25
positive,negative,101,25
positive,negative,101,25
positive,negative,102,25
positive,negative,103,25
positive,negative,103,25
positive,negative,103,26
positive,negative,104,26
positive,negative,104,27
positive,negative,104,27
positive,negative,105,27
positive,negative,105,27
positive,negative,105,27
positive,negative,106,27
positive,negative,107,27
positive,negative,108,27
positive,negative,109,27
